Sample	Unique Reads	Duplicate Reads
10_R1	15741213.0	4541487.0
10_R1_001	23185774.0	7461902.0
10_R2	15662813.0	4619887.0
10_R2_001	23069102.0	7578574.0
11_R1	12544735.0	6273857.0
11_R1_001	20373251.0	12263725.0
11_R2	12480819.0	6337773.0
11_R2_001	20258216.0	12378760.0
12_R1	12774810.0	8007699.0
12_R1_001	17533042.0	12483728.0
12_R2	12640551.0	8141958.0
12_R2_001	17370320.0	12646450.0
1_R1	14330721.0	7174150.0
1_R1_001	20424300.0	11015997.0
1_R2	14220815.0	7284056.0
1_R2_001	20273727.0	11166570.0
2_R1	10213919.0	6814507.0
2_R1_001	15604266.0	11504118.0
2_R2	10090218.0	6938208.0
2_R2_001	15410756.0	11697628.0
3_R1	12500996.0	7830277.0
3_R1_001	16644922.0	11659260.0
3_R2	12384476.0	7946797.0
3_R2_001	16502331.0	11801851.0
4_R1	13222076.0	6827082.0
4_R1_001	17965650.0	10546178.0
4_R2	13094328.0	6954830.0
4_R2_001	17792897.0	10718931.0
5_R1	11106928.0	7671724.0
5_R1_001	16085872.0	12926685.0
5_R2	11002760.0	7775892.0
5_R2_001	15937402.0	13075155.0
6_R1	12335686.0	7904674.0
6_R1_001	16903686.0	12273146.0
6_R2	12188421.0	8051939.0
6_R2_001	16706353.0	12470479.0
7_R1	10364641.0	4525387.0
7_R1_001	19118867.0	10504228.0
7_R2	10302522.0	4587506.0
7_R2_001	18917823.0	10705272.0
8_R1	13372505.0	8023595.0
8_R1_001	17964945.0	12060052.0
8_R2	13284414.0	8111686.0
8_R2_001	17853882.0	12171115.0
9_R1	12680050.0	5821089.0
9_R1_001	18813030.0	9665894.0
9_R2	12578389.0	5922750.0
9_R2_001	18618717.0	9860207.0
