Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
10_R1	(1, 37.78003303307745)	(2, 38.467420609682144)	(3, 38.939900309130444)	(4, 38.970000640940306)	(5, 39.106684021358106)	(6, 39.02061757063902)	(7, 38.97409605230073)	(8, 39.085806524772345)	(9, 38.99305546105795)	(10, 39.080474769138235)	(15, 39.43273205243878)	(20, 39.49660402214695)	(25, 39.312618497537315)	(30, 39.312911712937634)	(35, 39.29578522546848)	(40, 39.32388585021604)	(45, 39.273504646561534)	(50, 39.33068667296855)	(55, 39.34362232841478)	(60, 39.2815163336435)	(65, 39.349455120287566)	(70, 39.32783834199515)	(75, 39.30957152447278)	(80, 39.249131648304136)	(85, 39.14978902248754)	(90, 39.12863219975606)	(95, 39.18962056439143)	(100, 39.20338417676884)	(105, 39.24754059992466)	(110, 39.22373593768553)	(115, 39.10489557799578)	(120, 38.94154800888633)	(125, 38.61345501769606)	(130, 38.56015568254054)	(135, 38.20262416638095)	(140, 37.393316931221534)	(145, 37.783948642352435)	(150, 38.97700525008109)
10_R1_001	(1, 37.88670416641053)	(2, 38.55100915318995)	(3, 38.950773428954285)	(4, 39.01326156019138)	(5, 39.119236708192815)	(6, 39.04312078997442)	(7, 38.990371145923106)	(8, 39.11006602915014)	(9, 39.01486546647126)	(10, 39.10572903472355)	(15, 39.433949889055214)	(20, 39.490477777173055)	(25, 39.29768063327216)	(30, 39.28467273016068)	(35, 39.26599919680696)	(40, 39.28397499373199)	(45, 39.23020031926727)	(50, 39.23689656599084)	(55, 39.21203411312492)	(60, 39.138593817032)	(65, 39.17722295158693)	(70, 39.15495650632694)	(75, 39.14102682369783)	(80, 39.070961674222865)	(85, 38.96273300461673)	(90, 38.936522077563076)	(95, 38.98626829649335)	(100, 38.97193323239256)	(105, 38.9640348455785)	(110, 38.86227493399499)	(115, 38.64820096636365)	(120, 38.269227643883994)	(125, 37.6715051020508)	(130, 37.3708649491074)	(135, 36.80167206152923)	(140, 35.72357336327883)	(145, 35.52234384101424)	(150, 35.90886251864578)
10_R2	(1, 37.496365868449466)	(2, 38.54532966518264)	(3, 38.87599915198667)	(4, 38.94943266922057)	(5, 39.05226355465495)	(6, 39.07719652708959)	(7, 39.183658980313275)	(8, 39.26316358275772)	(9, 39.186214064202495)	(10, 39.25460332204292)	(15, 39.35153250799943)	(20, 39.39407627189674)	(25, 39.15215053222697)	(30, 39.11822025667195)	(35, 39.140584373986584)	(40, 39.138339515980306)	(45, 39.16273094055648)	(50, 39.192808727112165)	(55, 39.20345213344991)	(60, 39.21079847514212)	(65, 39.20960554081333)	(70, 39.22118983458206)	(75, 39.20067489856634)	(80, 39.147199362215325)	(85, 39.124798753065065)	(90, 39.1485847684645)	(95, 39.13452242355936)	(100, 39.134510090315594)	(105, 39.115169392352605)	(110, 39.11448587337527)	(115, 39.11603359252294)	(120, 39.01409760930882)	(125, 39.0361942686489)	(130, 38.9880406701123)	(135, 38.87883429040776)	(140, 38.84679149228624)	(145, 38.79725150090351)	(150, 39.14283644619968)
10_R2_001	(1, 37.83720181588973)	(2, 38.71355296238449)	(3, 38.98098837902097)	(4, 39.03961918678598)	(5, 39.13136748117541)	(6, 39.13120277048087)	(7, 39.219422705982666)	(8, 39.29542305263212)	(9, 39.22585797370085)	(10, 39.28393063147757)	(15, 39.360922400771926)	(20, 39.395520808820876)	(25, 39.152380310989976)	(30, 39.106836877288835)	(35, 39.11385795125216)	(40, 39.08711136204912)	(45, 39.08614387596632)	(50, 39.092591777595146)	(55, 39.083053801534575)	(60, 39.06875954966374)	(65, 39.047958781605494)	(70, 39.03868241102523)	(75, 38.99411245407319)	(80, 38.91203860286176)	(85, 38.85070723143902)	(90, 38.82076734301159)	(95, 38.729086603499724)	(100, 38.62473640089382)	(105, 38.48284073480808)	(110, 38.342723813707764)	(115, 38.16188069855606)	(120, 37.87080321522585)	(125, 37.72383225403453)	(130, 37.44102258194063)	(135, 37.15433982008946)	(140, 36.8738665339584)	(145, 36.329485942098835)	(150, 35.74928069586745)
11_R1	(1, 37.928630792356834)	(2, 38.650429532666415)	(3, 39.036018103798625)	(4, 39.04741842535297)	(5, 39.11949140509556)	(6, 39.0552588631498)	(7, 39.033270608130515)	(8, 39.09362230713116)	(9, 39.03952495489567)	(10, 39.106600961432186)	(15, 39.43114326512845)	(20, 39.50423732019909)	(25, 39.33716667006756)	(30, 39.32026300373588)	(35, 39.313217231269945)	(40, 39.330949290216765)	(45, 39.27983854119137)	(50, 39.315361962364925)	(55, 39.34667493007451)	(60, 39.307443320643)	(65, 39.342442213178366)	(70, 39.330719792767)	(75, 39.31026157709068)	(80, 39.25821374733282)	(85, 39.19472263177679)	(90, 39.184756344818275)	(95, 39.210486354639215)	(100, 39.21002877207957)	(105, 39.2241786462079)	(110, 39.19766203272892)	(115, 39.12060705070012)	(120, 39.014495139429286)	(125, 38.774104328627516)	(130, 38.7554770334218)	(135, 38.54344337623009)	(140, 38.05480036629814)	(145, 38.276225264506124)	(150, 39.1653495111226)
11_R1_001	(1, 37.98472438132749)	(2, 38.699447828744916)	(3, 39.03538685691959)	(4, 39.06941776713627)	(5, 39.12448659459136)	(6, 39.07264141138566)	(7, 39.04785535277533)	(8, 39.119418539266626)	(9, 39.060815499573245)	(10, 39.13283877771029)	(15, 39.432771467552634)	(20, 39.495439798098936)	(25, 39.320456184421005)	(30, 39.29316564132658)	(35, 39.284674499255075)	(40, 39.293968436291394)	(45, 39.24722708378374)	(50, 39.23188458391488)	(55, 39.19480808516083)	(60, 39.14155017303074)	(65, 39.15198939999833)	(70, 39.14349651756952)	(75, 39.13638987876818)	(80, 39.073708225909165)	(85, 39.00101466508416)	(90, 38.983525115807296)	(95, 39.00394617442499)	(100, 38.995096114296864)	(105, 38.980084649999434)	(110, 38.904637512985275)	(115, 38.74754054419748)	(120, 38.52242867108767)	(125, 38.09474684174171)	(130, 37.85437540536844)	(135, 37.39228745947541)	(140, 36.51054658985563)	(145, 36.09140745147467)	(150, 36.13648580677327)
11_R2	(1, 37.93466099908006)	(2, 38.806254580576486)	(3, 39.08447613934135)	(4, 39.178498901511865)	(5, 39.24180236225962)	(6, 39.199650749641634)	(7, 39.27037857029899)	(8, 39.32990512786504)	(9, 39.297570190160876)	(10, 39.351541220512146)	(15, 39.413102616816396)	(20, 39.4514929065894)	(25, 39.25422008192749)	(30, 39.22569135884343)	(35, 39.24145974003871)	(40, 39.22569131548262)	(45, 39.24239699015232)	(50, 39.26065916912396)	(55, 39.28426976141176)	(60, 39.28858137447355)	(65, 39.28928307247948)	(70, 39.29479888910072)	(75, 39.282481907152174)	(80, 39.24551585734915)	(85, 39.23360192694103)	(90, 39.24091184531088)	(95, 39.22681353879748)	(100, 39.21802323924979)	(105, 39.19919891354917)	(110, 39.19199682580752)	(115, 39.18496992122522)	(120, 39.11489936416442)	(125, 39.11433426371945)	(130, 39.06651203429889)	(135, 38.99757448015055)	(140, 38.96310690634758)	(145, 38.92864885817629)	(150, 39.28221504770268)
11_R2_001	(1, 38.240729655835764)	(2, 38.956522994042096)	(3, 39.17757490767527)	(4, 39.25042124000704)	(5, 39.300756111718194)	(6, 39.25229377868832)	(7, 39.31461211357327)	(8, 39.37098118404107)	(9, 39.33526408819248)	(10, 39.383409247229274)	(15, 39.43114501784724)	(20, 39.46017214339956)	(25, 39.26648700541374)	(30, 39.227539598031385)	(35, 39.23214654445927)	(40, 39.202583388853185)	(45, 39.19566871636637)	(50, 39.19412715197633)	(55, 39.192662334892795)	(60, 39.17690252920492)	(65, 39.159338242611696)	(70, 39.14770519180454)	(75, 39.114617273365035)	(80, 39.05193095095575)	(85, 39.01042586788678)	(90, 38.97680560846078)	(95, 38.89892206925053)	(100, 38.80324731065771)	(105, 38.67363410139468)	(110, 38.52136536179087)	(115, 38.33337193985129)	(120, 38.06043820971649)	(125, 37.864826900629524)	(130, 37.55873408124576)	(135, 37.25005714990261)	(140, 36.911598427501374)	(145, 36.38605593851587)	(150, 35.90076127150996)
12_R1	(1, 37.64386042128022)	(2, 38.419117730202835)	(3, 38.90305621905421)	(4, 38.916928557567324)	(5, 39.029046974068436)	(6, 38.939204982420556)	(7, 38.91963939483919)	(8, 38.99974714313849)	(9, 38.91298129595421)	(10, 39.006417675555916)	(15, 39.38434255459724)	(20, 39.45824520032687)	(25, 39.26703829648287)	(30, 39.26985809076277)	(35, 39.27005646438346)	(40, 39.296653364274775)	(45, 39.276063161486725)	(50, 39.30563296630419)	(55, 39.3266446310086)	(60, 39.26578543572244)	(65, 39.32753438381534)	(70, 39.306260044061375)	(75, 39.286409394238305)	(80, 39.221316887151225)	(85, 39.1390840584785)	(90, 39.126081148531405)	(95, 39.169680908299576)	(100, 39.17256568312124)	(105, 39.20785960642713)	(110, 39.176404297621744)	(115, 39.07481119371012)	(120, 38.93944045861392)	(125, 38.62530391811374)	(130, 38.60274412060627)	(135, 38.334002628102326)	(140, 37.689171520988)	(145, 38.001192467906776)	(150, 39.05542980470601)
12_R1_001	(1, 37.779545034325814)	(2, 38.500808248189266)	(3, 38.92400834600125)	(4, 38.95843803313947)	(5, 39.04364606851437)	(6, 38.96506672769922)	(7, 38.93981790845584)	(8, 39.02562694120653)	(9, 38.93350190576801)	(10, 39.031830566713204)	(15, 39.38567949849367)	(20, 39.45133077276469)	(25, 39.25056734618681)	(30, 39.24147513539931)	(35, 39.23772949587847)	(40, 39.2568047927875)	(45, 39.22913919119212)	(50, 39.23532933090402)	(55, 39.21081400830269)	(60, 39.13806740698617)	(65, 39.17981357754349)	(70, 39.15930654763987)	(75, 39.14118892872218)	(80, 39.06534353962801)	(85, 38.976345875988656)	(90, 38.95758211159962)	(95, 38.994063971573226)	(100, 38.985681057622116)	(105, 38.993209942308916)	(110, 38.92106764318746)	(115, 38.75643074188196)	(120, 38.5316105630286)	(125, 38.07654631727531)	(130, 37.880843555119355)	(135, 37.445149001708046)	(140, 36.51217715963443)	(145, 36.32368801839772)	(150, 36.65261672058652)
