Sample	featurecounts-Assigned	featurecounts-percent_assigned	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
1	18.923503	42.54118019760812	21.504870999999998	20.854837	96.97999999999999	19.853285	92.32	1.001552						
10	13.958528	33.30726057452398	20.2827	19.990115	98.55999999999999	19.311387	95.21	0.678728						
10_R1									22.390939287976067	46.0	149.22027760110834	150	18.181818181818183	20.2827
10_R1_001									24.347368342318006	46.0	150.0	150	27.27272727272727	30.647675999999997
10_R2									22.777478706057877	46.0	149.0738351895951	150	9.090909090909092	20.2827
10_R2_001									24.72805659590378	47.0	150.0	150	18.181818181818183	30.647675999999997
11	18.701304999999998	47.75147850730817	18.818592	18.533793	98.49	17.663038999999998	93.86	0.8707539999999999						
11_R1									33.338613296267965	50.0	149.02227823420583	150	9.090909090909092	18.818592
11_R1_001									37.576169030037256	50.0	150.0	150	27.27272727272727	32.636976
11_R2									33.67825653502828	50.0	149.20350597961846	150	9.090909090909092	18.818592
11_R2_001									37.92863891796663	50.0	150.0	150	27.27272727272727	32.636976
12	22.700301	52.17315428939347	20.782508999999997	20.544786	98.86	19.528371999999997	93.97	1.016414						
12_R1									38.53095876650542	50.0	149.4363286935182	150	18.181818181818183	20.782508999999997
12_R1_001									41.58918074958918	51.0	150.0	150	27.27272727272727	30.016769999999998
12_R2									39.17697609286497	50.0	149.26036418413196	150	18.181818181818183	20.782508999999997
12_R2_001									42.131284113835356	51.0	150.0	150	27.27272727272727	30.016769999999998
1_R1									33.36058155845821	48.0	149.33876769128258	150	18.181818181818183	21.504870999999998
1_R1_001									35.03782824928281	49.0	150.0	150	27.27272727272727	31.440296999999997
1_R2									33.87166025233597	49.0	149.2569487629105	150	9.090909090909092	21.504870999999998
1_R2_001									35.516746489567254	49.0	150.0	150	18.181818181818183	31.440296999999997
2	18.03209	50.846346924483875	17.028426	16.717966	98.17	15.859074999999999	93.13	0.858891						
2_R1									40.018425203524934	51.0	149.33306278572078	150	27.27272727272727	17.028426
2_R1_001									42.437493181726715	51.0	150.0	150	36.36363636363637	27.108383999999997
2_R2									40.74486212862103	51.0	149.26672799940522	150	18.181818181818183	17.028426
2_R2_001									43.15133167770856	51.0	150.0	150	27.27272727272727	27.108383999999997
3	21.779673	51.27039614885277	20.331273	20.091528999999998	98.82	19.103644	93.96	0.9878849999999999						
3_R1									38.513462981660815	50.0	149.3437546679935	150	18.181818181818183	20.331273
3_R1_001									41.19271356747595	51.0	150.0	150	27.27272727272727	28.304181999999997
3_R2									39.086573259863265	50.0	149.27116563237334	150	18.181818181818183	20.331273
3_R2_001									41.69649320693962	51.0	150.0	150	27.27272727272727	28.304181999999997
4	20.244828	48.453861132998036	20.049158	19.789582	98.7	18.858898999999997	94.06	0.9306829999999999						
4_R1									34.051719076159685	49.0	149.19929884337287	150	18.181818181818183	20.049158
4_R1_001									36.988783511606535	50.0	150.0	150	27.27272727272727	28.511827999999998
4_R2									34.68889170722453	49.0	149.15395220088544	150	9.090909090909092	20.049158
4_R2_001									37.59468298510521	50.0	150.0	150	27.27272727272727	28.511827999999998
5	21.028978	53.21660405334866	18.778651999999997	18.544809	98.75	17.434387	92.84	1.110422						
5_R1									40.853436426529946	50.0	149.03577842009108	150	27.27272727272727	18.778651999999997
5_R1_001									44.555486676327405	51.0	150.0	150	36.36363636363637	29.012556999999997
5_R2									41.408152733704796	51.0	149.32101076797207	150	18.181818181818183	18.778651999999997
5_R2_001									45.067227309002774	51.0	150.0	150	27.27272727272727	29.012556999999997
6	22.072074999999998	52.045130652475876	20.24036	20.00226	98.83	18.942481	93.59	1.059779						
6_R1									39.054022162862935	50.0	149.19691971881923	150	27.27272727272727	20.24036
6_R1_001									42.06470018972674	51.0	150.0	150	36.36363636363637	29.176831999999997
6_R2									39.78160183966693	51.0	149.24404237375225	150	18.181818181818183	20.24036
6_R2_001									42.74103265558657	51.0	150.0	150	27.27272727272727	29.176831999999997
7	14.26544	46.66527443896102	14.890028	14.459715	97.11	13.770918	92.48	0.688797						
7_R1									30.39206951344488	49.0	148.93865908109777	150	9.090909090909092	14.890028
7_R1_001									35.45959248583941	50.0	150.0	150	18.181818181818183	29.623095
7_R2									30.80925219794699	50.0	149.08890755611742	150	9.090909090909092	14.890028
7_R2_001									36.13826348813984	50.0	150.0	150	18.181818181818183	29.623095
8	22.277428999999998	50.128844648803316	21.3961	21.087415	98.56	20.129302	94.08	0.958113						
8_R1									37.50027168359239	49.0	149.3345271568183	150	18.181818181818183	21.3961
8_R1_001									40.166707925857295	50.0	150.0	150	36.36363636363637	30.024997
8_R2									37.911988303992686	50.0	149.2724833731381	150	9.090909090909092	21.3961
8_R2_001									40.53661007976592	50.0	150.0	150	27.27272727272727	30.024997
9	17.907128	46.6631524276796	18.501139	18.258924999999998	98.7	17.503131	94.61	0.755794						
9_R1									31.46341066670027	48.0	149.0797254969005	150	9.090909090909092	18.501139
9_R1_001									33.940519280433506	49.0	150.0	150	18.181818181818183	28.478924
9_R2									32.012896908657666	48.0	149.23568284093213	150	9.090909090909092	18.501139
9_R2_001									34.62282371730453	49.0	150.0	150	18.181818181818183	28.478924
