Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
1_R1	(35, 8107.0)	(40, 10901.0)	(45, 22163.0)	(50, 41476.0)	(55, 27856.0)	(60, 23379.0)	(65, 17038.0)	(70, 10872.0)	(75, 11656.0)	(80, 12615.0)	(85, 13614.0)	(90, 12453.0)	(95, 11753.0)	(100, 10780.0)	(105, 10987.0)	(110, 11140.0)	(115, 13675.0)	(120, 18597.0)	(125, 24141.0)	(130, 26959.0)	(135, 34235.0)	(140, 37145.0)	(145, 381694.0)	(150, 20711635.0)
1_R1_001	(150, 31440297.0)																							
1_R2	(35, 19800.0)	(40, 24458.0)	(45, 21113.0)	(50, 19649.0)	(55, 18901.0)	(60, 18114.0)	(65, 17735.0)	(70, 16571.0)	(75, 17744.0)	(80, 18011.0)	(85, 17029.0)	(90, 16210.0)	(95, 16106.0)	(100, 16057.0)	(105, 16234.0)	(110, 16369.0)	(115, 17363.0)	(120, 18149.0)	(125, 18045.0)	(130, 19549.0)	(135, 20011.0)	(140, 24249.0)	(145, 472212.0)	(150, 20625192.0)
1_R2_001	(150, 31440297.0)																							
2_R1	(35, 6569.0)	(40, 8634.0)	(45, 11616.0)	(50, 41419.0)	(55, 28974.0)	(60, 10977.0)	(65, 8739.0)	(70, 8422.0)	(75, 8968.0)	(80, 9667.0)	(85, 10258.0)	(90, 9290.0)	(95, 9140.0)	(100, 8644.0)	(105, 8886.0)	(110, 9843.0)	(115, 12113.0)	(120, 15351.0)	(125, 19603.0)	(130, 23651.0)	(135, 30513.0)	(140, 43022.0)	(145, 321805.0)	(150, 16362322.0)
2_R1_001	(150, 27108384.0)																							
2_R2	(35, 15460.0)	(40, 19662.0)	(45, 16732.0)	(50, 15842.0)	(55, 14824.0)	(60, 14084.0)	(65, 13915.0)	(70, 13071.0)	(75, 13852.0)	(80, 13829.0)	(85, 12968.0)	(90, 12257.0)	(95, 12275.0)	(100, 12139.0)	(105, 12660.0)	(110, 12914.0)	(115, 13931.0)	(120, 14663.0)	(125, 13996.0)	(130, 15691.0)	(135, 16542.0)	(140, 19376.0)	(145, 373983.0)	(150, 16333760.0)
2_R2_001	(150, 27108384.0)																							
3_R1	(35, 8245.0)	(40, 10833.0)	(45, 19392.0)	(50, 56923.0)	(55, 22146.0)	(60, 13044.0)	(65, 10938.0)	(70, 10478.0)	(75, 11162.0)	(80, 11828.0)	(85, 12477.0)	(90, 11716.0)	(95, 11244.0)	(100, 10811.0)	(105, 10917.0)	(110, 11364.0)	(115, 13029.0)	(120, 16766.0)	(125, 20236.0)	(130, 22437.0)	(135, 27741.0)	(140, 30418.0)	(145, 353512.0)	(150, 19603616.0)
3_R1_001	(150, 28304182.0)																							
3_R2	(35, 19000.0)	(40, 22953.0)	(45, 20204.0)	(50, 18963.0)	(55, 17761.0)	(60, 16896.0)	(65, 16772.0)	(70, 15448.0)	(75, 16402.0)	(80, 16058.0)	(85, 15652.0)	(90, 14902.0)	(95, 15080.0)	(100, 15055.0)	(105, 15441.0)	(110, 15290.0)	(115, 16066.0)	(120, 16549.0)	(125, 16447.0)	(130, 17803.0)	(135, 18052.0)	(140, 21305.0)	(145, 425663.0)	(150, 19527511.0)
3_R2_001	(150, 28304182.0)																							
4_R1	(35, 7893.0)	(40, 10408.0)	(45, 10801.0)	(50, 41802.0)	(55, 70892.0)	(60, 16590.0)	(65, 10900.0)	(70, 10337.0)	(75, 10912.0)	(80, 11833.0)	(85, 12441.0)	(90, 11719.0)	(95, 11615.0)	(100, 10791.0)	(105, 10846.0)	(110, 11180.0)	(115, 12996.0)	(120, 16968.0)	(125, 21105.0)	(130, 23611.0)	(135, 29100.0)	(140, 32944.0)	(145, 382704.0)	(150, 19258770.0)
4_R1_001	(150, 28511828.0)																							
4_R2	(35, 23612.0)	(40, 26949.0)	(45, 22225.0)	(50, 20268.0)	(55, 18903.0)	(60, 17531.0)	(65, 16860.0)	(70, 16024.0)	(75, 16751.0)	(80, 17008.0)	(85, 16309.0)	(90, 15605.0)	(95, 15698.0)	(100, 15535.0)	(105, 15512.0)	(110, 15832.0)	(115, 16732.0)	(120, 17505.0)	(125, 18179.0)	(130, 19546.0)	(135, 19604.0)	(140, 23610.0)	(145, 447422.0)	(150, 19195938.0)
4_R2_001	(150, 28511828.0)																							
5_R1	(35, 7404.0)	(40, 9417.0)	(45, 10962.0)	(50, 52109.0)	(55, 87660.0)	(60, 17617.0)	(65, 10056.0)	(70, 9127.0)	(75, 9758.0)	(80, 10774.0)	(85, 11180.0)	(90, 10432.0)	(95, 9956.0)	(100, 9397.0)	(105, 9474.0)	(110, 9687.0)	(115, 11622.0)	(120, 15438.0)	(125, 18819.0)	(130, 21568.0)	(135, 26993.0)	(140, 32014.0)	(145, 342641.0)	(150, 18024547.0)
5_R1_001	(150, 29012557.0)																							
5_R2	(35, 16643.0)	(40, 20902.0)	(45, 18353.0)	(50, 17302.0)	(55, 15733.0)	(60, 14774.0)	(65, 14649.0)	(70, 13475.0)	(75, 14188.0)	(80, 14075.0)	(85, 13446.0)	(90, 12563.0)	(95, 12964.0)	(100, 12887.0)	(105, 12709.0)	(110, 12959.0)	(115, 13799.0)	(120, 14513.0)	(125, 14981.0)	(130, 16518.0)	(135, 16974.0)	(140, 20994.0)	(145, 403570.0)	(150, 18039681.0)
5_R2_001	(150, 29012557.0)																							
6_R1	(35, 7885.0)	(40, 10362.0)	(45, 14222.0)	(50, 67004.0)	(55, 49940.0)	(60, 13703.0)	(65, 10473.0)	(70, 9892.0)	(75, 10355.0)	(80, 11394.0)	(85, 12187.0)	(90, 11270.0)	(95, 11008.0)	(100, 10371.0)	(105, 10472.0)	(110, 10777.0)	(115, 12732.0)	(120, 16512.0)	(125, 20434.0)	(130, 22689.0)	(135, 28277.0)	(140, 32344.0)	(145, 388501.0)	(150, 19447556.0)
6_R1_001	(150, 29176832.0)																							
6_R2	(35, 19992.0)	(40, 23686.0)	(45, 20127.0)	(50, 18725.0)	(55, 17627.0)	(60, 16817.0)	(65, 16930.0)	(70, 15517.0)	(75, 16527.0)	(80, 16178.0)	(85, 15551.0)	(90, 15046.0)	(95, 15191.0)	(100, 15054.0)	(105, 15283.0)	(110, 15312.0)	(115, 16428.0)	(120, 17039.0)	(125, 17563.0)	(130, 18609.0)	(135, 19475.0)	(140, 23509.0)	(145, 469381.0)	(150, 19384793.0)
6_R2_001	(150, 29176832.0)																							
7_R1	(35, 6485.0)	(40, 9004.0)	(45, 19498.0)	(50, 64333.0)	(55, 24831.0)	(60, 11269.0)	(65, 9031.0)	(70, 8301.0)	(75, 8682.0)	(80, 9029.0)	(85, 9830.0)	(90, 9483.0)	(95, 9342.0)	(100, 9351.0)	(105, 10101.0)	(110, 11978.0)	(115, 14666.0)	(120, 16271.0)	(125, 20377.0)	(130, 28077.0)	(135, 36142.0)	(140, 63246.0)	(145, 339313.0)	(150, 14141388.0)
7_R1_001	(150, 29623095.0)																							
7_R2	(35, 15783.0)	(40, 19049.0)	(45, 16707.0)	(50, 15851.0)	(55, 14986.0)	(60, 13985.0)	(65, 13950.0)	(70, 12671.0)	(75, 12774.0)	(80, 12768.0)	(85, 12109.0)	(90, 11954.0)	(95, 12097.0)	(100, 12341.0)	(105, 12851.0)	(110, 13251.0)	(115, 14769.0)	(120, 15764.0)	(125, 16244.0)	(130, 18672.0)	(135, 19695.0)	(140, 23235.0)	(145, 380840.0)	(150, 14177682.0)
7_R2_001	(150, 29623095.0)																							
8_R1	(35, 7950.0)	(40, 10869.0)	(45, 24209.0)	(50, 61152.0)	(55, 18526.0)	(60, 13310.0)	(65, 10968.0)	(70, 10549.0)	(75, 11340.0)	(80, 11972.0)	(85, 12818.0)	(90, 12379.0)	(95, 11781.0)	(100, 11391.0)	(105, 11799.0)	(110, 13008.0)	(115, 14856.0)	(120, 18887.0)	(125, 23162.0)	(130, 27408.0)	(135, 33376.0)	(140, 43494.0)	(145, 393067.0)	(150, 20587829.0)
8_R1_001	(150, 30024997.0)																							
8_R2	(35, 19799.0)	(40, 23792.0)	(45, 20569.0)	(50, 19271.0)	(55, 18222.0)	(60, 17399.0)	(65, 16884.0)	(70, 16061.0)	(75, 16887.0)	(80, 17085.0)	(85, 16530.0)	(90, 16065.0)	(95, 16128.0)	(100, 16210.0)	(105, 16283.0)	(110, 16514.0)	(115, 17446.0)	(120, 18689.0)	(125, 18862.0)	(130, 20415.0)	(135, 21384.0)	(140, 25157.0)	(145, 474159.0)	(150, 20516289.0)
8_R2_001	(150, 30024997.0)																							
9_R1	(35, 7184.0)	(40, 10249.0)	(45, 15699.0)	(50, 70434.0)	(55, 45720.0)	(60, 12756.0)	(65, 10564.0)	(70, 10051.0)	(75, 10647.0)	(80, 11328.0)	(85, 12036.0)	(90, 11522.0)	(95, 11401.0)	(100, 10704.0)	(105, 11085.0)	(110, 11391.0)	(115, 13170.0)	(120, 16358.0)	(125, 19689.0)	(130, 22200.0)	(135, 26996.0)	(140, 30533.0)	(145, 360119.0)	(150, 17739303.0)
9_R1_001	(150, 28478924.0)																							
9_R2	(35, 16666.0)	(40, 20017.0)	(45, 18081.0)	(50, 17877.0)	(55, 17072.0)	(60, 16387.0)	(65, 16736.0)	(70, 14988.0)	(75, 15299.0)	(80, 14983.0)	(85, 14211.0)	(90, 14342.0)	(95, 14379.0)	(100, 14463.0)	(105, 14758.0)	(110, 14740.0)	(115, 15322.0)	(120, 16050.0)	(125, 16050.0)	(130, 17423.0)	(135, 17838.0)	(140, 20636.0)	(145, 404647.0)	(150, 17738174.0)
9_R2_001	(150, 28478924.0)																							
