Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
10_R1	(35, 8190.0)	(40, 11134.0)	(45, 30059.0)	(50, 53902.0)	(55, 19412.0)	(60, 16440.0)	(65, 12768.0)	(70, 11617.0)	(75, 12495.0)	(80, 13465.0)	(85, 14471.0)	(90, 13366.0)	(95, 12866.0)	(100, 12053.0)	(105, 12237.0)	(110, 12372.0)	(115, 14511.0)	(120, 19644.0)	(125, 24759.0)	(130, 28308.0)	(135, 34944.0)	(140, 39103.0)	(145, 391837.0)	(150, 19462747.0)
10_R1_001	(150, 30647676.0)																							
10_R2	(35, 20603.0)	(40, 25580.0)	(45, 22414.0)	(50, 21510.0)	(55, 20307.0)	(60, 19629.0)	(65, 19412.0)	(70, 17948.0)	(75, 19515.0)	(80, 19674.0)	(85, 18709.0)	(90, 18172.0)	(95, 18290.0)	(100, 18080.0)	(105, 18071.0)	(110, 18485.0)	(115, 19407.0)	(120, 20468.0)	(125, 20193.0)	(130, 22056.0)	(135, 22237.0)	(140, 25888.0)	(145, 481650.0)	(150, 19354402.0)
10_R2_001	(150, 30647676.0)																							
11_R1	(35, 8291.0)	(40, 11493.0)	(45, 18164.0)	(50, 93816.0)	(55, 24763.0)	(60, 14733.0)	(65, 12364.0)	(70, 10999.0)	(75, 11428.0)	(80, 11915.0)	(85, 12400.0)	(90, 11856.0)	(95, 11820.0)	(100, 11397.0)	(105, 11621.0)	(110, 12124.0)	(115, 13874.0)	(120, 16704.0)	(125, 19800.0)	(130, 21823.0)	(135, 27442.0)	(140, 31364.0)	(145, 355227.0)	(150, 18043174.0)
11_R1_001	(150, 32636976.0)																							
11_R2	(35, 17778.0)	(40, 23628.0)	(45, 21980.0)	(50, 19726.0)	(55, 17225.0)	(60, 16131.0)	(65, 16099.0)	(70, 14915.0)	(75, 15385.0)	(80, 14944.0)	(85, 14611.0)	(90, 14196.0)	(95, 14536.0)	(100, 14227.0)	(105, 14481.0)	(110, 14619.0)	(115, 15278.0)	(120, 16023.0)	(125, 16532.0)	(130, 17815.0)	(135, 18285.0)	(140, 21261.0)	(145, 388087.0)	(150, 18060830.0)
11_R2_001	(150, 32636976.0)																							
12_R1	(35, 7920.0)	(40, 10333.0)	(45, 14785.0)	(50, 44263.0)	(55, 24413.0)	(60, 12571.0)	(65, 10747.0)	(70, 10292.0)	(75, 11171.0)	(80, 11591.0)	(85, 12378.0)	(90, 11938.0)	(95, 11422.0)	(100, 11013.0)	(105, 10867.0)	(110, 11344.0)	(115, 13469.0)	(120, 17221.0)	(125, 21339.0)	(130, 23747.0)	(135, 29162.0)	(140, 33527.0)	(145, 394158.0)	(150, 20022838.0)
12_R1_001	(150, 30016770.0)																							
12_R2	(35, 19915.0)	(40, 23856.0)	(45, 20444.0)	(50, 19464.0)	(55, 18249.0)	(60, 17364.0)	(65, 16931.0)	(70, 16080.0)	(75, 16752.0)	(80, 16834.0)	(85, 15910.0)	(90, 15452.0)	(95, 15490.0)	(100, 15248.0)	(105, 15634.0)	(110, 15719.0)	(115, 16500.0)	(120, 17017.0)	(125, 16534.0)	(130, 17870.0)	(135, 18904.0)	(140, 21784.0)	(145, 460704.0)	(150, 19933854.0)
12_R2_001	(150, 30016770.0)																							
