Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
1	19853285.0	1001552.0	13333.0	561415.0	75286.0
10	19311387.0	678728.0	5687.0	258612.0	28286.0
11	17663039.0	870754.0	4092.0	259984.0	20723.0
12	19528372.0	1016414.0	3481.0	217658.0	16584.0
2	15859075.0	858891.0	4529.0	290634.0	15297.0
3	19103644.0	987885.0	3761.0	217674.0	18309.0
4	18858899.0	930683.0	3618.0	233962.0	21996.0
5	17434387.0	1110422.0	2957.0	212115.0	18771.0
6	18942481.0	1059779.0	3331.0	216554.0	18215.0
7	13770918.0	688797.0	3930.0	408555.0	17828.0
8	20129302.0	958113.0	4534.0	284874.0	19277.0
9	17503131.0	755794.0	4003.0	216052.0	22159.0
