Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
10_R1	(1, 0.0)	(2, 0.16878423484052912)	(3, 0.0)	(4, 0.024700853436672634)	(5, 0.00014790930201600378)	(6, 0.0013114624778752335)	(7, 6.409403087360165e-05)	(8, 0.0)	(9, 0.029833306216627963)	(10, 0.0)	(15, 2.5637612349440657e-05)	(20, 0.0)	(25, 4.535885261824116e-05)	(30, 4.733097664512121e-05)	(35, 0.006778020680684872)	(40, 7.399996667041501e-05)	(45, 0.00021823306013022905)	(50, 2.177412394781495e-05)	(55, 0.00012194801907191669)	(60, 5.854672423536291e-05)	(65, 0.00020061109715440508)	(70, 0.0003319054608037786)	(75, 0.00029232989882492033)	(80, 0.00011541478012419784)	(85, 0.012477441637792255)	(90, 8.070433482710082e-05)	(95, 0.00016051661704908604)	(100, 0.014492484409281168)	(105, 8.48492983127737e-05)	(110, 8.490088331278532e-05)	(115, 0.0003118387450665386)	(120, 2.0006063237585414e-06)	(125, 6.208675692979585e-05)	(130, 0.005981084991678973)	(135, 0.00013256105805014434)	(140, 0.0)	(145, 2.3194809727681338e-05)	(150, 0.0)
10_R1_001	(1, 0.0005579542148644484)	(2, 0.17148771737211005)	(3, 0.0)	(4, 0.02454998545403573)	(5, 0.00013704138610705753)	(6, 0.0013116818384532648)	(7, 6.199491276271649e-05)	(8, 0.0)	(9, 0.03180665313741897)	(10, 6.525780290812263e-07)	(15, 2.936601130865518e-05)	(20, 2.610312116324905e-06)	(25, 6.982584911169121e-05)	(30, 7.439389531525979e-05)	(35, 0.007228606828132743)	(40, 0.00014617747851419468)	(45, 0.00033411995088958784)	(50, 7.504647334434102e-05)	(55, 0.0002401487147018913)	(60, 0.0001983837208406928)	(65, 0.00047181391502572654)	(70, 0.0005272830474976307)	(75, 0.000501832504363463)	(80, 0.00026233636769065294)	(85, 0.013809203673387829)	(90, 0.00024993738513810965)	(95, 0.0003106271418426637)	(100, 0.015319269232681785)	(105, 0.00019120536252079928)	(110, 0.00020034145492793645)	(115, 0.0004156922045247411)	(120, 4.8290774152010746e-05)	(125, 0.00012594755961267668)	(130, 0.006431809054624566)	(135, 0.00016575481938663146)	(140, 1.3704138610705751e-05)	(145, 7.830936348974714e-05)	(150, 0.00016314450727030657)
10_R2	(1, 0.0)	(2, 0.0021151030188288544)	(3, 0.00045358852618241166)	(4, 0.0025193884443392646)	(5, 0.0005669856577280145)	(6, 0.00038949449530880997)	(7, 0.0015382567409664395)	(8, 0.0039146661933569)	(9, 0.0051866861906945325)	(10, 0.000860832137733142)	(15, 0.0010895985248512278)	(20, 0.0012848388035123527)	(25, 0.00234978577802758)	(30, 0.0020145246934579713)	(35, 0.0015860776002077762)	(40, 0.0011278157210736722)	(45, 0.0011489337281974006)	(50, 0.0019202693476688634)	(55, 0.001325778890639353)	(60, 0.0010702021251774265)	(65, 0.0009223154908108835)	(70, 0.0009162251701860925)	(75, 0.014542761831903396)	(80, 0.0012644428873101318)	(85, 0.0014968712550501092)	(90, 0.000732165310877391)	(95, 0.0008186946732130291)	(100, 0.001559935640313258)	(105, 0.0016343602620325598)	(110, 0.014530454431903234)	(115, 0.0011824381401474586)	(120, 0.0014805294280952547)	(125, 0.001189844798150662)	(130, 0.002282688024665816)	(135, 0.001161240134829841)	(140, 0.0016512094887866505)	(145, 0.0011216111027828766)	(150, 0.0)
10_R2_001	(1, 0.045148610941984635)	(2, 0.005383768739920116)	(3, 0.0009233979111499352)	(4, 0.003008384714064453)	(5, 0.001566187269794943)	(6, 0.0008418256575147819)	(7, 0.0020295176704426135)	(8, 0.0060526612197283735)	(9, 0.006809651733462596)	(10, 0.0020053722833666084)	(15, 0.0018467958222998704)	(20, 0.0024824068226249846)	(25, 0.003933740359301632)	(30, 0.003309223185470898)	(35, 0.0025946502436269554)	(40, 0.0024902377589739594)	(45, 0.0028843948885390203)	(50, 0.003595052362208476)	(55, 0.0027897710743222423)	(60, 0.0025522326717366756)	(65, 0.002385172696291882)	(70, 0.0023629850433031204)	(75, 0.017166065054981656)	(80, 0.003104313684339393)	(85, 0.0034449594155197935)	(90, 0.0024360737825602176)	(95, 0.0024530408113163293)	(100, 0.0036094090788482626)	(105, 0.0038371588109976104)	(110, 0.01738141580457846)	(115, 0.0034873769874100733)	(120, 0.003967021838784774)	(125, 0.0033614294277973964)	(130, 0.005038554962536148)	(135, 0.003546109010027383)	(140, 0.0045328069899981975)	(145, 0.0038006144413690614)	(150, 0.004652881347349144)
11_R1	(1, 0.0)	(2, 0.14475046804776892)	(3, 0.0004941921265948058)	(4, 0.04091698252451618)	(5, 9.565008901834952e-05)	(6, 0.0008980480580056148)	(7, 2.6569469171763756e-05)	(8, 0.0)	(9, 0.018864323111952262)	(10, 0.010461994181073695)	(15, 0.006398990955327582)	(20, 1.0627787668705502e-06)	(25, 0.004456231369488217)	(30, 0.008099436982320463)	(35, 0.010392145820906497)	(40, 0.0030660488824544286)	(45, 0.007400594893319211)	(50, 0.004390673505089066)	(55, 0.00012636811962802967)	(60, 8.790505645000082e-05)	(65, 0.013821512783939125)	(70, 0.00026515488448253715)	(75, 0.0001997909928420043)	(80, 0.005921157694778197)	(85, 0.013873129536676838)	(90, 0.002933795008919447)	(95, 0.005148703129342132)	(100, 0.009377130921213134)	(105, 0.00581286081708056)	(110, 0.01414487421856718)	(115, 0.006913190932972743)	(120, 6.483262657846375e-06)	(125, 0.01143471555631292)	(130, 0.007311076245862832)	(135, 0.0009725262315369636)	(140, 0.007460566426836424)	(145, 0.009541225078500734)	(150, 0.0)
11_R1_001	(1, 0.0004013852263763653)	(2, 0.14678136846992199)	(3, 0.0004841134791409596)	(4, 0.040012898253808805)	(5, 8.272825276459437e-05)	(6, 0.0009253308272187963)	(7, 2.757608425486479e-05)	(8, 0.0)	(9, 0.02089960785582586)	(10, 0.010075688384855263)	(15, 0.006433194055723791)	(20, 3.6768112339819717e-06)	(25, 0.0045396362702230745)	(30, 0.008065698243611787)	(35, 0.010744255227567652)	(40, 0.0030051803819079316)	(45, 0.007362814496048899)	(50, 0.004315963586822505)	(55, 0.00017832534484812565)	(60, 0.00019977341037968714)	(65, 0.013953498632961582)	(70, 0.00039158039641908006)	(75, 0.00034133064288799304)	(80, 0.005918440482966314)	(85, 0.01482306448979832)	(90, 0.003017436419354538)	(95, 0.0050862555403417276)	(100, 0.010145547798300921)	(105, 0.005711313450118663)	(110, 0.013791718938666375)	(115, 0.0069461092228642754)	(120, 6.250579097769353e-05)	(125, 0.011427529315215968)	(130, 0.007848766380806848)	(135, 0.0010607600410037989)	(140, 0.007255574168391092)	(145, 0.009633858234905096)	(150, 0.00024512074893213146)
11_R2	(1, 0.0)	(2, 0.039843575969976924)	(3, 0.0003560308869016343)	(4, 0.0018864323111952264)	(5, 0.0006908061984658575)	(6, 0.00044105318825127834)	(7, 0.0019342573557044015)	(8, 0.0024178216946305012)	(9, 0.003507169930672816)	(10, 0.0036357661614641523)	(15, 0.002618686881569036)	(20, 0.0010776576696067378)	(25, 0.005097086965911158)	(30, 0.0095416277689638)	(35, 0.004072653155677917)	(40, 0.004427612091838424)	(45, 0.0014438967523245539)	(50, 0.004280176924932493)	(55, 0.004053723281294212)	(60, 0.0007888073242876372)	(65, 0.0055456605879850825)	(70, 0.0009154141481357221)	(75, 0.013029714134501024)	(80, 0.003861718643673044)	(85, 0.001170924407899964)	(90, 0.0006498216148370021)	(95, 0.005086494429638277)	(100, 0.008572624463529216)	(105, 0.004258933740626349)	(110, 0.012280409301581512)	(115, 0.0007461693423558866)	(120, 0.0010629955441061403)	(125, 0.0009245886088350318)	(130, 0.002994699425262043)	(135, 0.0009674725973126469)	(140, 0.0043537729667617545)	(145, 0.004979208062166997)	(150, 0.0)
11_R2_001	(1, 0.0835126391611772)	(2, 0.04087082087507127)	(3, 0.0006802100782866648)	(4, 0.0020467582535832977)	(5, 0.0013696121846582846)	(6, 0.0008732426680707183)	(7, 0.002291879002515429)	(8, 0.004069004432273382)	(9, 0.0047584065386450025)	(10, 0.004371728557204565)	(15, 0.0031596064537351746)	(20, 0.0019143930491599469)	(25, 0.00617152765623874)	(30, 0.01053712819472)	(35, 0.004719187218815861)	(40, 0.005404299712081168)	(45, 0.0027085842757000526)	(50, 0.0053742724203369825)	(55, 0.005098511577788334)	(60, 0.0018047015140128177)	(65, 0.0067432718031229365)	(70, 0.001832890400140013)	(75, 0.015127014218474163)	(80, 0.005092996360937361)	(85, 0.0025982799386805935)	(90, 0.0019052010210749918)	(95, 0.0062279054284931305)	(100, 0.00997764008528241)	(105, 0.005740727939990519)	(110, 0.014552818864100646)	(115, 0.002321293492387285)	(120, 0.002899165657994785)	(125, 0.002525356515873284)	(130, 0.004887094931834371)	(135, 0.002701843455104419)	(140, 0.006216262192918853)	(145, 0.006851124932653075)	(150, 0.0030640093616516434)
12_R1	(1, 0.0)	(2, 0.14243708495446822)	(3, 0.0004619269020886747)	(4, 0.021975210019156012)	(5, 0.00011548172552216867)	(6, 0.0013136046278146686)	(7, 3.849390850738956e-05)	(8, 0.0)	(9, 0.024761206647378332)	(10, 0.0)	(15, 1.3472867977586346e-05)	(20, 0.0)	(25, 3.849390850738956e-05)	(30, 0.004842533690229606)	(35, 0.00707599160705779)	(40, 7.318047485616136e-05)	(45, 0.00018015616977270035)	(50, 2.1221948611282948e-05)	(55, 0.00011597873205207375)	(60, 5.900554986855982e-05)	(65, 0.00330626867863956)	(70, 0.0003553884878900598)	(75, 0.0002751574893925335)	(80, 0.00012989886801182502)	(85, 0.01589755896231482)	(90, 8.734842415824095e-05)	(95, 0.004997181535233606)	(100, 0.012035391688455856)	(105, 8.749174211622362e-05)	(110, 0.009179857094194147)	(115, 0.0033693049294244975)	(120, 1.0713156728438015e-05)	(125, 6.921299116536136e-05)	(130, 0.00791144096733453)	(135, 0.0009116394579092789)	(140, 4.893182606606987e-06)	(145, 0.002295449130410623)	(150, 0.0)
12_R1_001	(1, 0.0005563556638505743)	(2, 0.14385625102234517)	(3, 0.0004697374167840177)	(4, 0.021751174426828737)	(5, 0.00010660707331268488)	(6, 0.0012692904666291543)	(7, 4.330912353327823e-05)	(8, 0.0)	(9, 0.02633861005031521)	(10, 0.0)	(15, 1.5324766788698452e-05)	(20, 5.996647873838524e-06)	(25, 6.196536136299809e-05)	(30, 0.004999871738364921)	(35, 0.0075397852600396385)	(40, 0.00014591843159673742)	(45, 0.00031115939523139897)	(50, 9.261489494039498e-05)	(55, 0.00021721191187459545)	(60, 0.00018323090725617713)	(65, 0.003621975315798469)	(70, 0.000499054361945006)	(75, 0.0004290934700835567)	(80, 0.0002558569759504437)	(85, 0.01687190194014879)	(90, 0.00023786703232892814)	(95, 0.005114474342176057)	(100, 0.012678246193711048)	(105, 0.0001838972014643814)	(110, 0.009164876833849879)	(115, 0.003646628201502027)	(120, 6.796200923683661e-05)	(125, 0.00013392513584906037)	(130, 0.00843195320482517)	(135, 0.0010227616095935706)	(140, 1.8656237829719852e-05)	(145, 0.002422645741030764)	(150, 0.0001499161968459631)
