Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
10_R1	(20.0, 45.0)	(21.0, 535.0)	(22.0, 2083.0)	(23.0, 4205.0)	(24.0, 7280.0)	(25.0, 10483.0)	(26.0, 15082.0)	(27.0, 20635.0)	(28.0, 28972.0)	(29.0, 38599.0)	(30.0, 54114.0)	(31.0, 72642.0)	(32.0, 103807.0)	(33.0, 142352.0)	(34.0, 213196.0)	(35.0, 322287.0)	(36.0, 563195.0)	(37.0, 1008745.0)	(38.0, 2700891.0)	(39.0, 12726705.0)	(40.0, 2246847.0)													
10_R1_001	(15.0, 1.0)	(16.0, 7.0)	(17.0, 70.0)	(18.0, 896.0)	(19.0, 5165.0)	(20.0, 14026.0)	(21.0, 21545.0)	(22.0, 28085.0)	(23.0, 33242.0)	(24.0, 40640.0)	(25.0, 46442.0)	(26.0, 56182.0)	(27.0, 65883.0)	(28.0, 83730.0)	(29.0, 103202.0)	(30.0, 134687.0)	(31.0, 166316.0)	(32.0, 229724.0)	(33.0, 331633.0)	(34.0, 500679.0)	(35.0, 649932.0)	(36.0, 1290314.0)	(37.0, 2187838.0)	(38.0, 4113639.0)	(39.0, 17406078.0)	(40.0, 3137720.0)								
10_R2	(17.0, 7.0)	(18.0, 111.0)	(19.0, 794.0)	(20.0, 3808.0)	(21.0, 9803.0)	(22.0, 16248.0)	(23.0, 19721.0)	(24.0, 23105.0)	(25.0, 24591.0)	(26.0, 27615.0)	(27.0, 30925.0)	(28.0, 38649.0)	(29.0, 46976.0)	(30.0, 60619.0)	(31.0, 76128.0)	(32.0, 102302.0)	(33.0, 132332.0)	(34.0, 187870.0)	(35.0, 274335.0)	(36.0, 468397.0)	(37.0, 836340.0)	(38.0, 2121237.0)	(39.0, 12251275.0)	(40.0, 3529512.0)										
10_R2_001	(8.0, 2.0)	(9.0, 2.0)	(10.0, 6.0)	(11.0, 9.0)	(12.0, 13.0)	(13.0, 13.0)	(14.0, 40.0)	(15.0, 359.0)	(16.0, 2428.0)	(17.0, 9839.0)	(18.0, 24252.0)	(19.0, 38984.0)	(20.0, 49430.0)	(21.0, 48919.0)	(22.0, 50517.0)	(23.0, 52180.0)	(24.0, 58221.0)	(25.0, 62011.0)	(26.0, 70203.0)	(27.0, 77125.0)	(28.0, 93282.0)	(29.0, 109410.0)	(30.0, 140154.0)	(31.0, 176576.0)	(32.0, 241206.0)	(33.0, 319340.0)	(34.0, 448058.0)	(35.0, 625753.0)	(36.0, 1026498.0)	(37.0, 1804186.0)	(38.0, 4175401.0)	(39.0, 16563843.0)	(40.0, 4379416.0)	
11_R1	(19.0, 2.0)	(20.0, 66.0)	(21.0, 724.0)	(22.0, 2383.0)	(23.0, 4794.0)	(24.0, 8041.0)	(25.0, 10975.0)	(26.0, 15894.0)	(27.0, 20621.0)	(28.0, 28522.0)	(29.0, 37632.0)	(30.0, 51272.0)	(31.0, 67445.0)	(32.0, 92315.0)	(33.0, 123836.0)	(34.0, 182800.0)	(35.0, 273228.0)	(36.0, 468004.0)	(37.0, 835904.0)	(38.0, 2156748.0)	(39.0, 11619184.0)	(40.0, 2818202.0)												
11_R1_001	(16.0, 2.0)	(17.0, 120.0)	(18.0, 1459.0)	(19.0, 7295.0)	(20.0, 18063.0)	(21.0, 25797.0)	(22.0, 31863.0)	(23.0, 36300.0)	(24.0, 44216.0)	(25.0, 49908.0)	(26.0, 59697.0)	(27.0, 69960.0)	(28.0, 89135.0)	(29.0, 107085.0)	(30.0, 136073.0)	(31.0, 164594.0)	(32.0, 224669.0)	(33.0, 309967.0)	(34.0, 454836.0)	(35.0, 618076.0)	(36.0, 1032541.0)	(37.0, 2097287.0)	(38.0, 3992573.0)	(39.0, 18406361.0)	(40.0, 4659099.0)									
11_R2	(17.0, 3.0)	(18.0, 79.0)	(19.0, 615.0)	(20.0, 3155.0)	(21.0, 7989.0)	(22.0, 13525.0)	(23.0, 16443.0)	(24.0, 19281.0)	(25.0, 20107.0)	(26.0, 22686.0)	(27.0, 25357.0)	(28.0, 31446.0)	(29.0, 38328.0)	(30.0, 49686.0)	(31.0, 61406.0)	(32.0, 82771.0)	(33.0, 107230.0)	(34.0, 153868.0)	(35.0, 225944.0)	(36.0, 382476.0)	(37.0, 678594.0)	(38.0, 1715959.0)	(39.0, 11266141.0)	(40.0, 3895503.0)										
11_R2_001	(8.0, 3.0)	(9.0, 0.0)	(10.0, 4.0)	(11.0, 4.0)	(12.0, 2.0)	(13.0, 14.0)	(14.0, 54.0)	(15.0, 343.0)	(16.0, 2468.0)	(17.0, 9759.0)	(18.0, 23798.0)	(19.0, 36944.0)	(20.0, 45258.0)	(21.0, 44135.0)	(22.0, 45106.0)	(23.0, 47739.0)	(24.0, 52969.0)	(25.0, 55694.0)	(26.0, 62865.0)	(27.0, 70311.0)	(28.0, 83739.0)	(29.0, 98256.0)	(30.0, 125945.0)	(31.0, 159666.0)	(32.0, 224234.0)	(33.0, 301320.0)	(34.0, 433393.0)	(35.0, 613512.0)	(36.0, 999620.0)	(37.0, 1764770.0)	(38.0, 4276612.0)	(39.0, 17754363.0)	(40.0, 5304076.0)	
12_R1	(19.0, 4.0)	(20.0, 54.0)	(21.0, 575.0)	(22.0, 2190.0)	(23.0, 4517.0)	(24.0, 7735.0)	(25.0, 11044.0)	(26.0, 15696.0)	(27.0, 20701.0)	(28.0, 29553.0)	(29.0, 39424.0)	(30.0, 53854.0)	(31.0, 71640.0)	(32.0, 100618.0)	(33.0, 138849.0)	(34.0, 208765.0)	(35.0, 321734.0)	(36.0, 562585.0)	(37.0, 1037863.0)	(38.0, 2835054.0)	(39.0, 13134435.0)	(40.0, 2185619.0)												
12_R1_001	(16.0, 2.0)	(17.0, 80.0)	(18.0, 930.0)	(19.0, 5109.0)	(20.0, 13509.0)	(21.0, 20538.0)	(22.0, 26077.0)	(23.0, 30225.0)	(24.0, 36086.0)	(25.0, 41532.0)	(26.0, 49691.0)	(27.0, 58533.0)	(28.0, 74666.0)	(29.0, 91041.0)	(30.0, 115863.0)	(31.0, 141096.0)	(32.0, 191162.0)	(33.0, 267514.0)	(34.0, 397887.0)	(35.0, 546076.0)	(36.0, 971144.0)	(37.0, 1983696.0)	(38.0, 4119937.0)	(39.0, 17755266.0)	(40.0, 3079110.0)									
12_R2	(17.0, 4.0)	(18.0, 90.0)	(19.0, 760.0)	(20.0, 3712.0)	(21.0, 9439.0)	(22.0, 16056.0)	(23.0, 19697.0)	(24.0, 22967.0)	(25.0, 23983.0)	(26.0, 27203.0)	(27.0, 30235.0)	(28.0, 37772.0)	(29.0, 45644.0)	(30.0, 58912.0)	(31.0, 73049.0)	(32.0, 98310.0)	(33.0, 128222.0)	(34.0, 182845.0)	(35.0, 268335.0)	(36.0, 464267.0)	(37.0, 841318.0)	(38.0, 2202252.0)	(39.0, 12848200.0)	(40.0, 3379237.0)										
12_R2_001	(7.0, 1.0)	(8.0, 1.0)	(9.0, 2.0)	(10.0, 5.0)	(11.0, 7.0)	(12.0, 2.0)	(13.0, 8.0)	(14.0, 31.0)	(15.0, 319.0)	(16.0, 2317.0)	(17.0, 9218.0)	(18.0, 23323.0)	(19.0, 37314.0)	(20.0, 46754.0)	(21.0, 45132.0)	(22.0, 45763.0)	(23.0, 46189.0)	(24.0, 51356.0)	(25.0, 54439.0)	(26.0, 61504.0)	(27.0, 67988.0)	(28.0, 80288.0)	(29.0, 91758.0)	(30.0, 114887.0)	(31.0, 140336.0)	(32.0, 189555.0)	(33.0, 250695.0)	(34.0, 358013.0)	(35.0, 513868.0)	(36.0, 871514.0)	(37.0, 1594813.0)	(38.0, 4023182.0)	(39.0, 17097580.0)	(40.0, 4198608.0)
1_R1	(20.0, 82.0)	(21.0, 602.0)	(22.0, 2273.0)	(23.0, 4699.0)	(24.0, 8036.0)	(25.0, 11435.0)	(26.0, 16265.0)	(27.0, 21693.0)	(28.0, 30409.0)	(29.0, 40515.0)	(30.0, 56179.0)	(31.0, 75612.0)	(32.0, 109583.0)	(33.0, 151223.0)	(34.0, 222178.0)	(35.0, 328179.0)	(36.0, 554344.0)	(37.0, 998527.0)	(38.0, 2708720.0)	(39.0, 13665392.0)	(40.0, 2498925.0)													
1_R1_001	(16.0, 4.0)	(17.0, 79.0)	(18.0, 1168.0)	(19.0, 5922.0)	(20.0, 15048.0)	(21.0, 21960.0)	(22.0, 27630.0)	(23.0, 31865.0)	(24.0, 38411.0)	(25.0, 43859.0)	(26.0, 53651.0)	(27.0, 61716.0)	(28.0, 77977.0)	(29.0, 95455.0)	(30.0, 127063.0)	(31.0, 161245.0)	(32.0, 222645.0)	(33.0, 303995.0)	(34.0, 459229.0)	(35.0, 636102.0)	(36.0, 1146660.0)	(37.0, 1870455.0)	(38.0, 3987694.0)	(39.0, 18495085.0)	(40.0, 3555379.0)									
1_R2	(17.0, 8.0)	(18.0, 87.0)	(19.0, 781.0)	(20.0, 3701.0)	(21.0, 9517.0)	(22.0, 16165.0)	(23.0, 19889.0)	(24.0, 23645.0)	(25.0, 24662.0)	(26.0, 27464.0)	(27.0, 30883.0)	(28.0, 38297.0)	(29.0, 46248.0)	(30.0, 59209.0)	(31.0, 73313.0)	(32.0, 98382.0)	(33.0, 126483.0)	(34.0, 180337.0)	(35.0, 264229.0)	(36.0, 451812.0)	(37.0, 810034.0)	(38.0, 2075062.0)	(39.0, 13057942.0)	(40.0, 4066721.0)										
