Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
10_R1	0.2523036873788993	0.20842392778081814
10_R1_001	0.20943512976318335	0.0
10_R2	0.5833247052907158	0.455738141371711
10_R2_001	0.4814133378335114	0.2092132532332957
11_R1	0.38897702867462136	1.9592007733628534
11_R1_001	0.23321400855275315	2.0903652348183246
11_R2	0.7033788712779362	2.0705109075110397
11_R2_001	0.4685176714901528	2.1167923155625687
12_R1	0.2548585447502994	3.3060733908499693
12_R1_001	0.26142053258894943	3.358382664090773
12_R2	0.45036910605933095	3.430803277891039
12_R2_001	0.3972246181051459	3.537602480213562
1_R1	0.3328129706055898	2.529966350414285
1_R1_001	0.28486372123011433	2.2050396025202947
1_R2	0.5975808922545967	2.819282198902751
1_R2_001	0.49110541163144866	2.6478184986611293
2_R1	0.4694503179565745	3.9061977895079676
2_R1_001	0.37358552984936316	3.703677061679516
2_R2	0.5213341503201764	4.1756883460632235
2_R2_001	0.3823097680776545	3.962759270342342
3_R1	0.29075897018351976	3.642221517560656
3_R1_001	0.29605519071351366	3.8977279046608735
3_R2	0.5295979253242038	3.950834755895512
3_R2_001	0.4679379181493392	4.055065078368986
4_R1	0.41567331655523887	2.6597924960240222
4_R1_001	0.29833232720118824	3.076032164616032
4_R2	0.6905277518387556	2.699415107607012
4_R2_001	0.5917719481192156	3.1077207676757874
5_R1	0.62371889100453	4.50226139767647
5_R1_001	0.4118216812120352	4.834358446930408
5_R2	0.8766603694450487	4.654114682992155
5_R2_001	0.6358660493109932	4.994923405062161
6_R1	0.42391538490422104	3.3488337163963493
6_R1_001	0.30517021176253817	3.3757914498736534
6_R2	0.681549142406558	3.5088901580801926
6_R2_001	0.5565922989857158	3.5138701830274104
7_R1	0.35083882985310705	1.9447109165946497
7_R1_001	0.19424033849265243	1.4760172763851989
7_R2	0.7988299283251852	1.8546237790822153
7_R2_001	0.47375535878340874	1.6354739435565395
8_R1	0.3072662774991704	2.9115586485387523
8_R1_001	0.26678437303424213	3.3130094900592324
8_R2	0.5700010749622595	3.095381868658307
8_R2_001	0.4878868097805305	3.4969062611396766
9_R1	0.43422191466157845	1.2197519298676693
9_R1_001	0.29392964425200896	0.7893907789493733
9_R2	0.7675149081361964	1.2343348158186371
9_R2_001	0.589520165860199	0.9089037212220517
