Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
10_R1 - illumina_universal_adapter	(1, 5.9163720806401514e-05)	(2, 6.902434094080176e-05)	(3, 0.00011832744161280303)	(4, 0.00017256085235200442)	(5, 0.00019721240268800506)	(6, 0.00022186395302400567)	(7, 0.00022186395302400567)	(8, 0.00024158519329280618)	(9, 0.00025637612349440654)	(10, 0.0003056792241664078)	(12, 0.0003303307745024085)	(14, 0.0003820990302080098)	(16, 0.00044619306108161145)	(18, 0.0005349386422912137)	(20, 0.0005891720530304151)	(22, 0.0006162887584000157)	(24, 0.000663126704038417)	(26, 0.0007074994946432182)	(28, 0.0007715935255168198)	(30, 0.0008504784865920218)	(32, 0.0009441543778688241)	(34, 0.001052621199347227)	(36, 0.0011462970906240292)	(38, 0.0012744851523712327)	(40, 0.001410068679219236)	(42, 0.0016319326322432417)	(44, 0.001878448135603248)	(46, 0.002201383445004856)	(48, 0.002568691545011266)	(50, 0.0030222800711936773)	(52, 0.0035374974732160906)	(54, 0.004274578828262509)	(56, 0.005120127004787331)	(58, 0.006345309056486562)	(60, 0.0076962140148993975)	(62, 0.009303495096806638)	(64, 0.011154826527040286)	(66, 0.013422769157952343)	(68, 0.016159091245248412)	(70, 0.01923806988221489)	(72, 0.022770637045363782)	(74, 0.026705024478989484)	(76, 0.0312951431515528)	(78, 0.03631912911002973)	(80, 0.041826285455092274)	(82, 0.047784565171303625)	(84, 0.05395977853047178)	(86, 0.060310017897025545)	(88, 0.06710645032466092)	(90, 0.07365390209390268)	(92, 0.08011014312690125)	(94, 0.08653680229949662)	(96, 0.09331104833182959)	(98, 0.09994724568228096)	(100, 0.10668451438910993)	(102, 0.11278330794223648)	(104, 0.11893880006113584)	(106, 0.12455195807264319)	(108, 0.13027111775059536)	(110, 0.1356032480882723)	(112, 0.140474394434666)	(114, 0.1448327885340709)	(116, 0.14931444038515582)	(118, 0.15268923762615433)	(120, 0.15471559506377355)	(122, 0.155970358975876)	(124, 0.1567493479664936)	(126, 0.15767131594906003)	(128, 0.15839853668397208)	(130, 0.15919724691485848)	(132, 0.1599244676497705)	(134, 0.1605949898189097)	(136, 0.1613098847786537)	(138, 0.16217515419544737)
10_R1 - polya	(1, 0.01249833602035232)	(2, 0.019104951510400488)	(3, 0.022492074526566975)	(4, 0.02774285474813511)	(5, 0.030913044121344792)	(6, 0.034122675975092075)	(7, 0.03830850922214498)	(8, 0.05166964950425732)	(9, 0.06953709318779058)	(10, 0.08745137481696225)	(12, 0.09829066149970171)	(14, 0.11597814886578217)	(16, 0.141361850246762)	(18, 0.15723251835307922)	(20, 0.17617969994132932)	(22, 0.19849428330547708)	(24, 0.21689173532123435)	(26, 0.24307907724316782)	(28, 0.26603213576101803)	(30, 0.2850335507600073)	(32, 0.3005714229367885)	(34, 0.3166023261202897)	(36, 0.32920173349701964)	(38, 0.34185290912945515)	(40, 0.3596957012626524)	(42, 0.3742105341004896)	(44, 0.3912127083672292)	(46, 0.41157242378973213)	(48, 0.42820482480143174)	(50, 0.44435159027151216)	(52, 0.4649331696470391)	(54, 0.49991125441879036)	(56, 0.5228100795259014)	(58, 0.5411606935960203)	(60, 0.5608967247950223)	(62, 0.5802679130490517)	(64, 0.603497068930665)	(66, 0.6283482968243872)	(68, 0.6514640555744551)	(70, 0.6793844014850094)	(72, 0.7037746453874484)	(74, 0.7222238656589113)	(76, 0.7467176460727616)	(78, 0.7686599910268357)	(80, 0.7852899268835016)	(82, 0.8030513689005903)	(84, 0.8307991539587924)	(86, 0.8605387842841437)	(88, 0.8799863923442145)	(90, 0.9036617412869096)	(92, 0.927618117903435)	(94, 0.9683005714229368)	(96, 0.9957328166368383)	(98, 1.0156808511687299)	(100, 1.0346280327569801)	(102, 1.0570560132526734)	(104, 1.0785669560758677)	(106, 1.0979701913453337)	(108, 1.1222075956356896)	(110, 1.1447440429528613)	(112, 1.1637035503162794)	(114, 1.1816769956662574)	(116, 1.2012675827182773)	(118, 1.2237004935240376)	(120, 1.2436978311566014)	(122, 1.259935807362925)	(124, 1.279893702514951)	(126, 1.3040398960690638)	(128, 1.3261252200150868)	(130, 1.3538828656934236)	(132, 1.3862503512845923)	(134, 1.4155437885488618)	(136, 1.438336611989528)	(138, 1.4549517569159924)
10_R1_001 - illumina_universal_adapter	(1, 0.002326440673674572)	(2, 0.0025124254119627213)	(3, 0.003523921357038622)	(4, 0.005706794864315324)	(5, 0.0061799139353992125)	(6, 0.006914064218115593)	(7, 0.007393709069490294)	(8, 0.008199642935405607)	(9, 0.009008839691466328)	(10, 0.011332017474995494)	(12, 0.014823309930580054)	(14, 0.019541449080837322)	(16, 0.023899038870027207)	(18, 0.028038015019474886)	(20, 0.031963271864398464)	(22, 0.035142958311096734)	(24, 0.03793762372063709)	(26, 0.040702923118868785)	(28, 0.0437439367343873)	(30, 0.0468306308119415)	(32, 0.050222405118091173)	(34, 0.05402367213748932)	(36, 0.05862924157773007)	(38, 0.0641810491601386)	(40, 0.07143119106323102)	(42, 0.0811643923669775)	(44, 0.09375099110288167)	(46, 0.10910778357223563)	(48, 0.12934749114418986)	(50, 0.15496117878562798)	(52, 0.18761618336085256)	(54, 0.23014795640622146)	(56, 0.28600210991528363)	(58, 0.356178719717606)	(60, 0.44632748009995926)	(62, 0.5606542564597721)	(64, 0.7011804092421232)	(66, 0.8794794097927686)	(68, 1.0896698986246136)	(70, 1.3344845462344357)	(72, 1.6254299347200094)	(74, 1.9666466716758557)	(76, 2.3753318196133373)	(78, 2.824095047206842)	(80, 3.3295983029838867)	(82, 3.8907697275317057)	(84, 4.493645782473033)	(86, 5.14190211355667)	(88, 5.826820278314088)	(90, 6.5452140645183015)	(92, 7.309533029519105)	(94, 8.113453692214705)	(96, 8.919726898705141)	(98, 9.752995626813597)	(100, 10.601813657909982)	(102, 11.466314770490264)	(104, 12.3424611379995)	(106, 13.218623819959465)	(108, 14.100196373780511)	(110, 14.986243981435983)	(112, 15.869107008309538)	(114, 16.765497977725943)	(116, 17.65786580359307)	(118, 18.56651708273084)	(120, 19.453780116965476)	(122, 20.347351949296254)	(124, 21.237177983740104)	(126, 22.133252452812407)	(128, 23.019037397811175)	(130, 23.889977824093414)	(132, 24.755599739438644)	(134, 25.627788221201502)	(136, 26.478903326960257)	(138, 27.356730082894376)
10_R1_001 - polya	(1, 0.013381112486310544)	(2, 0.020389800518642913)	(3, 0.023897407424954505)	(4, 0.02963030541043308)	(5, 0.033128123646308454)	(6, 0.03656720985956651)	(7, 0.04099495178688263)	(8, 0.05441848184508346)	(9, 0.073013692783753)	(10, 0.09175573377896581)	(12, 0.1030322821214894)	(14, 0.12119516011589263)	(16, 0.1467125924980413)	(18, 0.16252782103282482)	(20, 0.18140200907892656)	(22, 0.20325032149256603)	(24, 0.22142135671233276)	(26, 0.24642488389657996)	(28, 0.2690595528352623)	(30, 0.28764823799364103)	(32, 0.30332153080709934)	(34, 0.3195446206100586)	(36, 0.3323041525236693)	(38, 0.34526598362629524)	(40, 0.3635838489026052)	(42, 0.37808902704400815)	(44, 0.3953937649301696)	(46, 0.4159777074124642)	(48, 0.43241777941009296)	(50, 0.44864576354827035)	(52, 0.4696163585127956)	(54, 0.5051622837568499)	(56, 0.5281852366228357)	(58, 0.5465194163498727)	(60, 0.5660461824250557)	(62, 0.5850574118572645)	(64, 0.6080901533936864)	(66, 0.632623824396995)	(68, 0.655041511141008)	(70, 0.6815541250175055)	(72, 0.7049033668980317)	(74, 0.7224511901000259)	(76, 0.7455671353351556)	(78, 0.7660792942342513)	(80, 0.7814850300557863)	(82, 0.7979234706083425)	(84, 0.8244148756988947)	(86, 0.8528770664372725)	(88, 0.8707234440875713)	(90, 0.891999119280692)	(92, 0.9133987842993381)	(94, 0.9487473046895953)	(96, 0.9724701474917707)	(98, 0.9896737357834244)	(100, 1.005637425819824)	(102, 1.0245083509757804)	(104, 1.0422715249273713)	(106, 1.0582156376228984)	(108, 1.0779104425405697)	(110, 1.0961777330196258)	(112, 1.111441533119836)	(114, 1.1256155279114801)	(116, 1.140874433676472)	(118, 1.1581971174584331)	(120, 1.1733108246119541)	(122, 1.18560865756999)	(124, 1.2003813927033162)	(126, 1.2178394864263118)	(128, 1.2335780370426783)	(130, 1.2530917515572795)	(132, 1.275643216797254)	(134, 1.2958421382423908)	(136, 1.3115219568361398)	(138, 1.3234200857513634)
10_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.009844139568690298)	(4, 0.011834502557388039)	(5, 0.012366353651089238)	(6, 0.01277747780941041)	(7, 0.012999354339298027)	(8, 0.013175550407149957)	(9, 0.01332564335383864)	(10, 0.013461053294872995)	(12, 0.013625829247216004)	(14, 0.013787342309413607)	(16, 0.013886860458848495)	(18, 0.013976589937847164)	(20, 0.01409079109293638)	(22, 0.01421967525367992)	(24, 0.014351822304568869)	(26, 0.014466023459658084)	(28, 0.014588381840110812)	(30, 0.014733580451581386)	(32, 0.014857570277106819)	(34, 0.015015820449159016)	(36, 0.015164281950774995)	(38, 0.015296429001663944)	(40, 0.015474256514588577)	(42, 0.01565208402751321)	(44, 0.015887012117982453)	(46, 0.016942557080021337)	(48, 0.01714159337889111)	(50, 0.01739120447501468)	(52, 0.017596766554175268)	(54, 0.017764805396663683)	(56, 0.017968736030751567)	(58, 0.01820529556629351)	(60, 0.01842554065110842)	(62, 0.01870451775854065)	(64, 0.019375041683421607)	(66, 0.022592251366792052)	(68, 0.027819401379732676)	(70, 0.09166110996474905)	(72, 0.2599560893295792)	(74, 0.2825679180372437)	(76, 0.2875209852779702)	(78, 0.29038743427070945)	(80, 0.2933436127424474)	(82, 0.29725581802678935)	(84, 0.30212731301388074)	(86, 0.30694333886850017)	(88, 0.31198450414315265)	(90, 0.3167630067610999)	(92, 0.3209607149331649)	(94, 0.3248451856512709)	(96, 0.3282320656222025)	(98, 0.33168909773126026)	(100, 0.33509229215291886)	(102, 0.33863089651561185)	(104, 0.34232448816021155)	(106, 0.3466233459267841)	(108, 0.3517672922410169)	(110, 0.358926073220038)	(112, 0.3669984634397727)	(114, 0.38009081014821483)	(116, 0.40096351840837785)	(118, 0.43070802497390015)	(120, 0.47194116774139744)	(122, 0.5263612810315537)	(124, 0.5783635927239639)	(126, 0.6412460116062307)	(128, 0.7155599661129282)	(130, 0.8043187352933384)	(132, 0.9219312420295751)	(134, 1.0541076589298322)	(136, 1.199162703234007)	(138, 1.3682652479098252)
10_R2 - illumina_universal_adapter	(1, 5.9163720806401514e-05)	(2, 6.409403087360164e-05)	(3, 0.0001133971315456029)	(4, 0.00014297899194880365)	(5, 0.0001676305422848043)	(6, 0.00019228209262080493)	(7, 0.00019721240268800506)	(8, 0.00021693364295680555)	(9, 0.00023172457315840593)	(10, 0.00028349282886400726)	(12, 0.0003155398443008081)	(14, 0.0003845641852416098)	(16, 0.00048317038658561237)	(18, 0.0006162887584000157)	(20, 0.0007346162000128188)	(22, 0.0008849906570624227)	(24, 0.0011265758503552288)	(26, 0.0013361140282112344)	(28, 0.0015875598416384405)	(30, 0.0018266798798976468)	(32, 0.002110172708761654)	(34, 0.002465155033600063)	(36, 0.0028127418933376717)	(38, 0.0032268879389824824)	(40, 0.003705128015500895)	(42, 0.0042425318128257086)	(44, 0.004708446114176121)	(46, 0.005231058981299334)	(48, 0.0058202310343297495)	(50, 0.006508009288704167)	(52, 0.007225369403481785)	(54, 0.008154732851149009)	(56, 0.009182702500160235)	(58, 0.010393093621657867)	(60, 0.011862326021683503)	(62, 0.013610120940505949)	(64, 0.015614291982822801)	(66, 0.017919211939238858)	(68, 0.02069497650707253)	(70, 0.02379860669437501)	(72, 0.027272010136717498)	(74, 0.031191606640141596)	(76, 0.03572502674693212)	(78, 0.04068245351950184)	(80, 0.04608607335315318)	(82, 0.05168937074452612)	(84, 0.057595882205031874)	(86, 0.06383025928500644)	(88, 0.0703160821784082)	(90, 0.07659483204898757)	(92, 0.08278976664842452)	(94, 0.08898470124786148)	(96, 0.09564061983858166)	(98, 0.10163341172526341)	(100, 0.10775192651865875)	(102, 0.1135943439482909)	(104, 0.11957234490477106)	(106, 0.1248009387310368)	(108, 0.13002460224723533)	(110, 0.13478974692718426)	(112, 0.13944149447558757)	(114, 0.14343011531995248)	(116, 0.14747050442002296)	(118, 0.15080585918048384)	(120, 0.15325622328388233)	(122, 0.15516178812485515)	(124, 0.15674688281146001)	(126, 0.15773787513496723)	(128, 0.15840839730410644)	(130, 0.15889403284572567)	(132, 0.1593032485813033)	(134, 0.1597346507121833)	(136, 0.1601241452074921)	(138, 0.1605456867182377)
10_R2 - polya	(1, 0.013602725475405149)	(2, 0.020618556701030927)	(3, 0.023724652043367007)	(4, 0.02894585040453194)	(5, 0.03231325218042963)	(6, 0.03561162961538651)	(7, 0.04029542417922663)	(8, 0.052956460431796554)	(9, 0.07137609884285623)	(10, 0.0896330370216983)	(12, 0.10104670482726658)	(14, 0.11852711917052464)	(16, 0.14310224970048369)	(18, 0.15916273474438808)	(20, 0.17826029078968775)	(22, 0.2001385417128883)	(24, 0.219088188456172)	(26, 0.2450684573552831)	(28, 0.2671266645959364)	(30, 0.2855487681620297)	(32, 0.30061086541732607)	(34, 0.3169178659645905)	(36, 0.32986486020105804)	(38, 0.34252096614356076)	(40, 0.3598115635492316)	(42, 0.3739048548763232)	(44, 0.3900688764316388)	(46, 0.4089544291440489)	(48, 0.4244084860496876)	(50, 0.4388641551667184)	(52, 0.45882205031874457)	(54, 0.4919019657146238)	(56, 0.5142880385747459)	(58, 0.532273809699892)	(60, 0.5508709392733708)	(62, 0.5700350545045778)	(64, 0.5931138359291416)	(66, 0.6174424509557406)	(68, 0.6397718252500899)	(70, 0.6653773905840938)	(72, 0.6885621736751024)	(74, 0.7062250094908469)	(76, 0.7291460209932603)	(78, 0.7497029488184512)	(80, 0.7650263525073091)	(82, 0.7818140582861256)	(84, 0.8079249804020174)	(86, 0.8361682616219734)	(88, 0.8548738580169306)	(90, 0.8775310979307489)	(92, 0.9005383898593382)	(94, 0.9373973879217263)	(96, 0.9637104527503735)	(98, 0.9837669541037436)	(100, 1.0026303204208513)	(102, 1.0241708451044487)	(104, 1.0455018316101898)	(106, 1.0634555557198992)	(108, 1.0866797812914455)	(110, 1.1078751842703387)	(112, 1.125515833690781)	(114, 1.142693033964906)	(116, 1.1616673322585258)	(118, 1.1825940333387566)	(120, 1.2008559018276659)	(122, 1.2164455422601528)	(124, 1.234522524121542)	(126, 1.257495303879661)	(128, 1.2783554457739847)	(130, 1.3041976659912142)	(132, 1.3357023473206229)	(134, 1.366398457799011)	(136, 1.390904563988029)	(138, 1.4107638529387114)
10_R2 - polyg	(1, 0.6634077317122474)	(2, 0.6660848900787371)	(3, 0.6666272241861291)	(4, 0.6669082518599595)	(5, 0.6673963525566123)	(6, 0.6678992441834667)	(7, 0.6690726579794604)	(8, 0.669826995419742)	(9, 0.6704975175888812)	(10, 0.6715131614627243)	(12, 0.6729602074674477)	(14, 0.6737194752177964)	(16, 0.6740695272325676)	(18, 0.6743973928520365)	(20, 0.6746488386654637)	(22, 0.6748534465332525)	(24, 0.6750506589359405)	(26, 0.675225684943326)	(28, 0.6754401534312493)	(30, 0.6756151794386349)	(32, 0.6758148569963565)	(34, 0.6760022087789102)	(36, 0.6761599787010605)	(38, 0.6763867729641517)	(40, 0.6765913808319406)	(42, 0.6767762674594605)	(44, 0.6769611540869804)	(46, 0.6771583664896685)	(48, 0.6773506485822893)	(50, 0.6775133488145069)	(52, 0.6776563278064558)	(54, 0.6778042371084718)	(56, 0.6779570767205549)	(58, 0.678117311797739)	(60, 0.6782183831541166)	(62, 0.6784205258668717)	(64, 0.6785930867192238)	(66, 0.678733600556139)	(68, 0.6789258826487597)	(70, 0.6790984435011118)	(72, 0.6792808649735982)	(74, 0.6794756122212526)	(76, 0.6796678943138734)	(78, 0.6798577112514606)	(80, 0.6800204114836782)	(82, 0.6801855768709294)	(84, 0.6803704634984494)	(86, 0.6805528849709358)	(88, 0.6807007942729518)	(90, 0.6808807505904046)	(92, 0.6810459159776558)	(94, 0.6812677799306799)	(96, 0.6814871787286703)	(98, 0.6817115078367278)	(100, 0.6819703491152559)	(102, 0.6821897479132463)	(104, 0.6824461240367407)	(106, 0.6826975698501678)	(108, 0.6829564111286959)	(110, 0.6832152524072239)	(112, 0.6834198602750127)	(114, 0.6836614454683054)	(116, 0.6840460096535471)	(118, 0.6845069936448304)	(120, 0.6849088139153072)	(122, 0.6853204948059184)	(124, 0.6858406425180079)	(126, 0.6863805114703664)	(128, 0.687011591158968)	(130, 0.6879631410019376)	(132, 0.6888210149536305)	(134, 0.6899993590596912)	(136, 0.6914069625838769)	(138, 0.6931350362624306)
10_R2_001 - illumina_universal_adapter	(1, 0.002329703563819978)	(2, 0.002515688302108127)	(3, 0.0034945553457299667)	(4, 0.005579542148644485)	(5, 0.00605592410987378)	(6, 0.0067704970517177224)	(7, 0.007230564562219987)	(8, 0.00802997264784449)	(9, 0.008813066282741961)	(10, 0.011131349731053017)	(12, 0.014576961724601892)	(14, 0.019228211626878332)	(16, 0.023620061762594985)	(18, 0.02778514103320591)	(20, 0.031790338686691934)	(22, 0.03510054073920646)	(24, 0.038095873892689286)	(26, 0.04099658323195533)	(28, 0.044223581585762)	(30, 0.047484840286095426)	(32, 0.051051179215024334)	(34, 0.05509226866010983)	(36, 0.059998023993727945)	(38, 0.06580923134269626)	(40, 0.07337587358989309)	(42, 0.08350225315616101)	(44, 0.09637924911500631)	(46, 0.11201175580164707)	(48, 0.13257612094306923)	(50, 0.15845573413135794)	(52, 0.1912151511912355)	(54, 0.23388233417763876)	(56, 0.2899436812109343)	(58, 0.36015128846963795)	(60, 0.45035551798446316)	(62, 0.5647214490260208)	(64, 0.7052231301322816)	(66, 0.8833394088347841)	(68, 1.0933504387086317)	(70, 1.3375500315260447)	(72, 1.6277058005964302)	(74, 1.9678408894690742)	(76, 2.375638531287005)	(78, 2.82363497969634)	(80, 3.328404085190668)	(82, 3.888479178649631)	(84, 4.490914743421328)	(86, 5.1378838643426015)	(88, 5.821056382872229)	(90, 6.537830144119248)	(92, 7.300502981041694)	(94, 8.103201691377839)	(96, 8.90850092515987)	(98, 9.740283406807094)	(100, 10.586895724165187)	(102, 11.448135578045136)	(104, 12.3211903571416)	(106, 13.194202718666173)	(108, 14.073326473433092)	(110, 14.95647010885915)	(112, 15.838450523948374)	(114, 16.734825178914058)	(116, 17.629503131004125)	(118, 18.539033759036087)	(120, 19.431091610339394)	(122, 20.32906834436647)	(124, 21.225808443028434)	(126, 22.129302724291396)	(128, 23.02640989809472)	(130, 23.911824505061983)	(132, 24.809704983829768)	(134, 25.696799979221915)	(136, 26.577543758946028)	(138, 27.471481034973092)
10_R2_001 - polya	(1, 0.015182227846574728)	(2, 0.02305884465758513)	(3, 0.026478353529970754)	(4, 0.03248859717780885)	(5, 0.03612345679979128)	(6, 0.039738739080901274)	(7, 0.04475053834424509)	(8, 0.058536249208585994)	(9, 0.0778558217595357)	(10, 0.09720149743164866)	(12, 0.10909636345672671)	(14, 0.12711567428473208)	(16, 0.152109412798543)	(18, 0.1682329844520674)	(20, 0.18749382498039982)	(22, 0.20944654987869227)	(24, 0.22812985885128778)	(26, 0.25323779852018796)	(28, 0.2749816984491744)	(30, 0.2932261486972128)	(32, 0.3085454179298946)	(34, 0.325086639522031)	(36, 0.3379310065794222)	(38, 0.35073621895506857)	(40, 0.36850428724187767)	(42, 0.38290015856340953)	(44, 0.39975624905457763)	(46, 0.419286278019906)	(48, 0.4353315403099406)	(50, 0.4503228890830091)	(52, 0.470817102086305)	(54, 0.5049762990185618)	(56, 0.5277186433320425)	(58, 0.5453871934694168)	(60, 0.563895937819233)	(62, 0.5827179196230083)	(64, 0.6056625631255041)	(66, 0.6294767668517509)	(68, 0.6510444707128853)	(70, 0.6763155548890558)	(72, 0.6988833345797574)	(74, 0.7158862551274687)	(76, 0.7379727585217228)	(78, 0.7576920351154848)	(80, 0.7721825302512334)	(82, 0.7880989083805245)	(84, 0.8135445571794743)	(86, 0.8406885402991078)	(88, 0.8581776314784847)	(90, 0.8789100354623953)	(92, 0.8996016533194882)	(94, 0.9324279596273466)	(96, 0.9554297037073871)	(98, 0.9723951010184264)	(100, 0.988396314291498)	(102, 1.0065037231534295)	(104, 1.0241282242738405)	(106, 1.0389645857650023)	(108, 1.058019864214174)	(110, 1.0752185581706097)	(112, 1.089386027181963)	(114, 1.1030330652151243)	(116, 1.1177976431230872)	(118, 1.1338363796328308)	(120, 1.1477118199761704)	(122, 1.1593538120149796)	(124, 1.17255383409822)	(126, 1.1888454445942327)	(128, 1.2034941899020337)	(130, 1.2213976681298773)	(132, 1.243040418464356)	(134, 1.264017539209172)	(136, 1.2807137480832151)	(138, 1.2944178866939209)
