Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1_R1	(1.0, 57.39416613966232)	(2.0, 12.181797120164585)	(3.0, 4.365277876978092)	(4.0, 2.355718783430124)	(5.0, 1.4852483369168508)	(6.0, 1.0997177094150867)	(7.0, 0.8809251179953727)	(8.0, 0.6517603782153949)	(9.0, 0.5691081686648601)	('>10', 5.803348853638703)	('>50', 1.6856990118037436)	('>100', 2.7702725818071836)	('>500', 0.7941189397426826)	('>1k', 2.30162437412768)	('>5k', 1.268681244040225)	('>10k+', 4.392535363397051)
1_R1_001	(1.0, 56.13453672801374)	(2.0, 11.264858160116203)	(3.0, 4.185030344032465)	(4.0, 2.4408040712839543)	(5.0, 1.60504251941995)	(6.0, 1.1501383565577843)	(7.0, 0.9337425901262858)	(8.0, 0.7210604308790991)	(9.0, 0.5982235234419317)	('>10', 6.164132027326712)	('>50', 1.876585735587991)	('>100', 3.041743664640256)	('>500', 0.9041573618346801)	('>1k', 2.2872800637417283)	('>5k', 1.6478489406169903)	('>10k+', 5.044815482380221)
1_R2	(1.0, 56.828084865105986)	(2.0, 12.292367506697262)	(3.0, 4.375515614857056)	(4.0, 2.3164234117772438)	(5.0, 1.5365219674021204)	(6.0, 1.0613305209747619)	(7.0, 0.8579629525874849)	(8.0, 0.6880898490882318)	(9.0, 0.5264064690043959)	('>10', 5.864814334749773)	('>50', 1.67084375000591)	('>100', 2.847359437132056)	('>500', 0.7912443290754695)	('>1k', 2.279379976035276)	('>5k', 1.1524261188815155)	('>10k+', 4.9112288966255555)
1_R2_001	(1.0, 55.53248339578142)	(2.0, 11.482551051190358)	(3.0, 4.301966206171111)	(4.0, 2.350918542619322)	(5.0, 1.5845501710830565)	(6.0, 1.1448403398184173)	(7.0, 0.9130851470193401)	(8.0, 0.6948796649958834)	(9.0, 0.6221339862022464)	('>10', 6.275881827491032)	('>50', 1.7814305492817397)	('>100', 3.114656372096334)	('>500', 0.8707915227200441)	('>1k', 2.2913665946562127)	('>5k', 1.50247572376865)	('>10k+', 5.535988905104828)
2_R1	(1.0, 49.567592885917975)	(2.0, 13.047617738950473)	(3.0, 5.399143500744079)	(4.0, 2.902902616055382)	(5.0, 1.8105942874597987)	(6.0, 1.3749412701105714)	(7.0, 1.0450780454428215)	(8.0, 0.8408257495670037)	(9.0, 0.7189458570774876)	('>10', 7.0655385845677126)	('>50', 1.9847259449227752)	('>100', 3.2055742306078154)	('>500', 0.9242018705241738)	('>1k', 2.5686590409156387)	('>5k', 1.820676713169311)	('>10k+', 5.722981663966966)
2_R1_001	(1.0, 47.198383267752256)	(2.0, 12.677604448687314)	(3.0, 5.223817995055152)	(4.0, 3.031103309850025)	(5.0, 2.0582070637430268)	(6.0, 1.5327625221101058)	(7.0, 1.1767563920357298)	(8.0, 0.9215769850547627)	(9.0, 0.7156982500910345)	('>10', 7.934828747101347)	('>50', 2.243208034517036)	('>100', 3.5884265718002233)	('>500', 1.0530913222235796)	('>1k', 2.864520853939407)	('>5k', 1.606429098834462)	('>10k+', 6.173585137204548)
2_R2	(1.0, 48.662201757271546)	(2.0, 13.282842195376748)	(3.0, 5.543076053653803)	(4.0, 2.874029375016319)	(5.0, 1.9001615449612455)	(6.0, 1.3858740771422025)	(7.0, 1.031017366364894)	(8.0, 0.8222893757627879)	(9.0, 0.6795571718896378)	('>10', 7.308362434309173)	('>50', 1.9852325373276862)	('>100', 3.1062819983124967)	('>500', 0.9270460123798396)	('>1k', 2.6405451338798223)	('>5k', 1.7676421786643237)	('>10k+', 6.083840787687343)
2_R2_001	(1.0, 46.29029630797231)	(2.0, 12.949266203126186)	(3.0, 5.488415697213645)	(4.0, 2.9180542047767735)	(5.0, 2.0256622403189986)	(6.0, 1.5118764085370713)	(7.0, 1.1432081912778238)	(8.0, 0.9091963847043482)	(9.0, 0.7948757336486294)	('>10', 8.04912312170163)	('>50', 2.3173330248349324)	('>100', 3.570621846600816)	('>500', 1.0485325759377342)	('>1k', 2.8598155618601377)	('>5k', 1.6588442699986747)	('>10k+', 6.464878227490188)
3_R1	(1.0, 50.82715568940412)	(2.0, 13.309505115859618)	(3.0, 5.459607108254094)	(4.0, 3.0598442533981207)	(5.0, 2.069257573898899)	(6.0, 1.3624068617791658)	(7.0, 1.1181928721828338)	(8.0, 0.8607741200762977)	(9.0, 0.706782501467514)	('>10', 6.92966640881689)	('>50', 1.6944698821830968)	('>100', 2.5563275256921516)	('>500', 0.7394662822388423)	('>1k', 2.525672828650751)	('>5k', 1.2319384195156167)	('>10k+', 5.548932556581893)
3_R1_001	(1.0, 48.55844656943187)	(2.0, 12.459193513331474)	(3.0, 5.311516395786652)	(4.0, 3.018878496491568)	(5.0, 2.0569871679554685)	(6.0, 1.4815954905400808)	(7.0, 1.1726456617951397)	(8.0, 0.9427716470482128)	(9.0, 0.7039397492529074)	('>10', 7.551644663663897)	('>50', 1.9169375667550348)	('>100', 2.9674078951561658)	('>500', 0.8385617122833187)	('>1k', 2.625926708734818)	('>5k', 1.5320091819195736)	('>10k+', 6.861537579853989)
