Sample	Assigned	Unassigned: Multi Mapping	Unassigned: No Features	Unassigned: Ambiguity
1	18923503.0	4812166.0	17600873.0	3146246.0
10	13958528.0	3325435.0	22311830.0	2312571.0
11	18701305.0	3868086.0	13718366.0	2876067.0
12	22700301.0	4486180.0	12994925.0	3328137.0
2	18032090.0	3770520.0	10456321.0	3204954.0
3	21779673.0	4307732.0	13112494.0	3280118.0
4	20244828.0	4100915.0	14501308.0	2934610.0
5	21028978.0	4675376.0	10495144.0	3316323.0
6	22072075.0	4557613.0	12424499.0	3355304.0
7	14265440.0	3054952.0	11106190.0	2143130.0
8	22277429.0	4216233.0	14547967.0	3398711.0
9	17907128.0	3402449.0	14613777.0	2451953.0
